,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
26,Adi,"Vanua Levu, Toto-A",2011,80.0,Fiji,65.0,Trinitario,Fiji,143000.0
27,Adi,Vanua Levu,2011,88.0,Fiji,70.0,Trinitario,Fiji,169400.0
28,Adi,"Vanua Levu, Ami-Ami-CA",2011,72.0,Fiji,70.0,Trinitario,Fiji,138600.0
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75.0,Switzerland,75.0,Trinitario,Indonesia,154687.5
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75.0,Switzerland,55.00000000000001,Criollo,Madagascar,103125.00000000001
34,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75.0,Switzerland,55.00000000000001,Forastero,Brazil,103125.00000000001
36,Alain Ducasse,Vietnam,2014,75.0,France,55.00000000000001,Trinitario,Vietnam,113437.50000000003
37,Alain Ducasse,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,123750.00000000001
38,Alain Ducasse,Chuao,2013,75.0,France,50.0,Trinitario,Venezuela,103125.00000000001
39,Alain Ducasse,"Piura, Perou",2013,75.0,France,50.0,Blend,Peru,93750.0
51,Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A.,65.0,Blend,Bolivia,130000.0
65,Amatller (Simon Coll),Ecuador,2009,85.0,Spain,55.00000000000001,Blend,Ecuador,116875.00000000001
66,Amatller (Simon Coll),Ghana,2009,85.0,Spain,60.0,Forastero,Ghana,127500.0
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72.0,Peru,65.0,Blend,Peru,117000.0
68,Amazona,"Bellavista Gran Pajeten, San Martin",2013,73.0,Peru,70.0,Trinitario,Peru,140525.0
71,Ambrosia,Dominican Republic,2015,75.0,Canada,65.0,Blend,Dominican Republic,121875.0
77,Amedei,Nine,2007,75.0,Italy,80.0,Blend,Other,150000.0
88,AMMA,Catongo,2013,75.0,Brazil,65.0,Forastero (Catongo),Brazil,121875.0
89,AMMA,"Monte Alegre, 3 diff. plantations",2010,85.0,Brazil,55.00000000000001,Forastero (Parazinho),Brazil,116875.00000000001
91,AMMA,"Monte Alegre, 3 diff. plantations",2010,75.0,Brazil,75.0,Forastero (Parazinho),Brazil,140625.0
93,Anahata,Elvesia,2014,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
94,Animas,Alto Beni,2016,75.0,U.S.A.,70.0,Blend,Bolivia,131250.0
95,Ara,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,123750.00000000001
96,Ara,Chiapas,2014,72.0,France,50.0,Blend,Mexico,90000.0
97,Ara,Equateur,2014,75.0,France,55.00000000000001,Blend,Ecuador,103125.00000000001
98,Ara,Trincheras,2014,75.0,France,60.0,Blend,Venezuela,112500.0
101,Arete,Tien Giang,2016,73.0,U.S.A.,70.0,Trinitario,Vietnam,140525.0
111,Arete,Lam Dong,2016,73.0,U.S.A.,65.0,Blend,Vietnam,118625.0
118,Arete,Fazenda Camboa,2015,75.0,U.S.A.,55.00000000000001,Blend,Brazil,103125.00000000001
120,Arete,Camino Verde,2015,75.0,U.S.A.,70.0,Blend,Ecuador,131250.0
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72.0,U.K.,65.0,Trinitario,Trinidad,128700.00000000001
122,Artisan du Chocolat,"Colombia, Casa Luker",2012,72.0,U.K.,75.0,Blend,Colombia,135000.0
123,Artisan du Chocolat,Haiti,2011,72.0,U.K.,80.0,Blend,Haiti,144000.0
124,Artisan du Chocolat,Panama,2011,72.0,U.K.,55.00000000000001,Blend,Panama,99000.00000000001
125,Artisan du Chocolat,Venezuela,2010,100.0,U.K.,35.0,Blend,Venezuela,87500.0
126,Artisan du Chocolat,Jamaica,2010,72.0,U.K.,75.0,Trinitario,Jamaica,148500.0
127,Artisan du Chocolat,Costa Rica,2010,72.0,U.K.,65.0,Blend,Costa Rica,117000.0
128,Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72.0,U.K.,65.0,Trinitario,Vietnam,128700.00000000001
129,Artisan du Chocolat,Bali,2010,72.0,U.K.,70.0,Blend,Indonesia,126000.0
130,Artisan du Chocolat,"Ocumare, Venezuela",2009,75.0,U.K.,50.0,"Criollo, Trinitario",Venezuela,103125.00000000001
131,Artisan du Chocolat,Java,2009,72.0,U.K.,55.00000000000001,Trinitario,Indonesia,108900.00000000003
132,Artisan du Chocolat,Brazil Rio Doce,2009,72.0,U.K.,35.0,Blend,Brazil,63000.0
133,Artisan du Chocolat,Madagascar,2009,80.0,U.K.,60.0,"Criollo, Trinitario",Madagascar,132000.0
134,Artisan du Chocolat,Peru,2009,75.0,U.K.,60.0,Criollo,Peru,112500.0
135,Artisan du Chocolat,Dominican Republic,2009,72.0,U.K.,65.0,Trinitario,Dominican Republic,128700.00000000001
136,Artisan du Chocolat,Congo,2008,72.0,U.K.,75.0,Forastero,Congo,135000.0
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72.0,U.K.,55.00000000000001,Trinitario,Colombia,108900.00000000003
139,Askinosie,"Tenende, Uwate",2011,72.0,U.S.A.,75.0,Trinitario,Tanzania,148500.0
141,Askinosie,Davao,2009,77.0,U.S.A.,75.0,Trinitario,Philippines,158812.5
142,Askinosie,Xoconusco,2007,75.0,U.S.A.,50.0,Trinitario,Mexico,103125.00000000001
144,Bahen & Co.,Houseblend,2015,80.0,Australia,65.0,Blend,Other,130000.0
156,Baravelli's,single estate,2012,80.0,Wales,55.00000000000001,Blend,Costa Rica,110000.00000000001
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73.0,U.K.,60.0,Blend,Malaysia,109500.0
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72.0,U.K.,65.0,Blend,Malaysia,117000.0
162,Beehive,"Brazil, Batch 20316",2016,80.0,U.S.A.,55.00000000000001,Blend,Brazil,110000.00000000001
165,Beehive,Ecuador,2016,90.0,U.S.A.,55.00000000000001,Blend,Ecuador,123750.00000000001
169,Belcolade,Ecuador,2010,71.0,Belgium,70.0,Blend,Ecuador,124250.0
173,Belyzium,"Belize south, low fermentation",2016,83.0,Germany,55.00000000000001,Trinitario,Belize,125537.50000000003
174,Belyzium,Belize south,2016,78.0,Germany,60.0,Trinitario,Belize,128700.00000000001
175,Belyzium,Belize south,2016,83.0,Germany,70.0,Trinitario,Belize,159775.0
176,Benoit Nihant,Baracoa,2013,74.0,Belgium,70.0,Trinitario,Cuba,142450.0
177,Benoit Nihant,Chuao,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
